Model,RMSE (Train),RMSE (Test),MAE (Train),MAE (Test),R² (Train),R² (Test),Training Time (s)
Linear Regression,2.9193819653108885e-11,2.909761061039779e-11,2.374906515824869e-11,2.442103210756039e-11,1.0,1.0,0.02648758888244629
Ridge Regression,21.023747445968972,23.443819640681102,11.818912233708396,13.03689240032826,0.9999980448582256,0.9999974880641883,0.012701749801635742
Lasso Regression,1.8615624799592867,1.8105212689516774,1.3261028012984535,1.284888937417027,0.999999984671021,0.9999999850183704,0.013615131378173828
Random Forest,191.07267854675916,471.5895974288079,88.99044059223338,224.33409131522095,0.9998385064516225,0.9989835635571966,3.851210117340088
Gradient Boosting,345.31349928219623,520.0839033697026,253.21224883130344,340.9397268628311,0.9994725453730035,0.9987637718761446,1.3126635551452637
SVR,15817.342182780734,15502.623438431176,9987.116810897418,9697.791428031933,-0.10668752249795754,-0.09840421428989354,0.4195551872253418
KNN,1826.4814741528837,2315.3059624038474,1277.8639142057405,1621.0710981921666,0.9852433241815237,0.9754998595107535,0.0
